comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes,row_label
split_reliability,aligned,18,angry,reliability,,,,,,,,,0.7530479951223452,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,19,angry,reliability,,,,,,,,,0.7418699676307653,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,20,angry,reliability,,,,,,,,,0.7428307815738385,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,21,angry,reliability,,,,,,,,,0.7388068115246015,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,22,angry,reliability,,,,,,,,,0.7368521308995285,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,23,angry,reliability,,,,,,,,,0.7434613250482444,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,24,angry,reliability,,,,,,,,,0.7411839167806149,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,25,angry,reliability,,,,,,,,,0.7358026207882827,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,26,angry,reliability,,,,,,,,,0.7248017217526519,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,27,angry,reliability,,,,,,,,,0.7196312187097389,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,28,angry,reliability,,,,,,,,,0.7320492176120724,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,29,angry,reliability,,,,,,,,,0.7119175982481758,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,30,angry,reliability,,,,,,,,,0.740230003504997,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,31,angry,reliability,,,,,,,,,0.7782903978072766,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,32,angry,reliability,,,,,,,,,0.7768689315689085,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,33,angry,reliability,,,,,,,,,0.781156830623548,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,34,angry,reliability,,,,,,,,,0.7812325053921477,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,35,angry,reliability,,,,,,,,,0.7832652539053924,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,36,angry,reliability,,,,,,,,,0.7829144364470777,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,37,angry,reliability,,,,,,,,,0.788095020120472,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,38,angry,reliability,,,,,,,,,0.794711838676951,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,39,angry,reliability,,,,,,,,,0.793621384111208,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,40,angry,reliability,,,,,,,,,0.8083582922241731,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,41,angry,reliability,,,,,,,,,0.809133691066931,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,42,angry,reliability,,,,,,,,,0.8025333206096074,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,43,angry,reliability,,,,,,,,,0.8037720485502842,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,44,angry,reliability,,,,,,,,,0.8034271078435178,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,45,angry,reliability,,,,,,,,,0.7931456682191204,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,46,angry,reliability,,,,,,,,,0.792185214694668,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,47,angry,reliability,,,,,,,,,0.8268768917613094,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: angry
split_reliability,aligned,0,anxious,reliability,,,,,,,,,0.40349592517216165,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,1,anxious,reliability,,,,,,,,,0.3699842327725396,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,2,anxious,reliability,,,,,,,,,0.3573569674737822,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,3,anxious,reliability,,,,,,,,,0.37164205891639585,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,4,anxious,reliability,,,,,,,,,0.377005265579405,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,5,anxious,reliability,,,,,,,,,0.38534093192010965,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,6,anxious,reliability,,,,,,,,,0.41278044961073307,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,7,anxious,reliability,,,,,,,,,0.41067362118070583,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,8,anxious,reliability,,,,,,,,,0.41544282514875747,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,9,anxious,reliability,,,,,,,,,0.4917179445909339,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,10,anxious,reliability,,,,,,,,,0.5091986386570151,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,11,anxious,reliability,,,,,,,,,0.5096681486262833,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,12,anxious,reliability,,,,,,,,,0.5022288541686969,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,13,anxious,reliability,,,,,,,,,0.5323218170580493,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,14,anxious,reliability,,,,,,,,,0.5513734171822818,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,15,anxious,reliability,,,,,,,,,0.5961024836315074,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,16,anxious,reliability,,,,,,,,,0.6086000769660066,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,17,anxious,reliability,,,,,,,,,0.6264691588379014,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,18,anxious,reliability,,,,,,,,,0.6278531673380875,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,19,anxious,reliability,,,,,,,,,0.6132613718926829,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,20,anxious,reliability,,,,,,,,,0.6202251553518955,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,21,anxious,reliability,,,,,,,,,0.5969696962826867,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,22,anxious,reliability,,,,,,,,,0.5699773461565439,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,23,anxious,reliability,,,,,,,,,0.5397781018961397,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,24,anxious,reliability,,,,,,,,,0.5227311396081371,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,25,anxious,reliability,,,,,,,,,0.5272868872928654,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,26,anxious,reliability,,,,,,,,,0.5272980988766609,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,27,anxious,reliability,,,,,,,,,0.5213738765458783,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,28,anxious,reliability,,,,,,,,,0.5011608117090445,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,29,anxious,reliability,,,,,,,,,0.5224450178363685,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,30,anxious,reliability,,,,,,,,,0.5578778305109192,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,31,anxious,reliability,,,,,,,,,0.6049404740795118,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,32,anxious,reliability,,,,,,,,,0.609683588188462,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,33,anxious,reliability,,,,,,,,,0.6253919838584657,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,34,anxious,reliability,,,,,,,,,0.6328694324810661,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,35,anxious,reliability,,,,,,,,,0.6397532320223623,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,36,anxious,reliability,,,,,,,,,0.6489115234711227,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,37,anxious,reliability,,,,,,,,,0.6445401253534123,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,38,anxious,reliability,,,,,,,,,0.6296279071811044,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,39,anxious,reliability,,,,,,,,,0.6394091600976403,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,40,anxious,reliability,,,,,,,,,0.6513689856990976,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,41,anxious,reliability,,,,,,,,,0.65096265001056,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,42,anxious,reliability,,,,,,,,,0.644034359137435,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,43,anxious,reliability,,,,,,,,,0.6519159338567612,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,44,anxious,reliability,,,,,,,,,0.6469556816806679,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,45,anxious,reliability,,,,,,,,,0.642703515909296,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,46,anxious,reliability,,,,,,,,,0.6640202070741478,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,47,anxious,reliability,,,,,,,,,0.7326225127375532,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: anxious
split_reliability,aligned,0,calm,reliability,,,,,,,,,0.557380068968814,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,1,calm,reliability,,,,,,,,,0.5338189866384447,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,2,calm,reliability,,,,,,,,,0.5268437809872881,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,3,calm,reliability,,,,,,,,,0.5425536640028972,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,4,calm,reliability,,,,,,,,,0.5681504298626342,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,5,calm,reliability,,,,,,,,,0.5795309868682467,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,6,calm,reliability,,,,,,,,,0.5862055890034574,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,7,calm,reliability,,,,,,,,,0.5962680678749716,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,8,calm,reliability,,,,,,,,,0.6037554982470764,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,9,calm,reliability,,,,,,,,,0.6589391735446335,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,10,calm,reliability,,,,,,,,,0.6933080931049552,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,11,calm,reliability,,,,,,,,,0.6971940364009489,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,12,calm,reliability,,,,,,,,,0.6875077579684592,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,13,calm,reliability,,,,,,,,,0.7023752526368389,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,14,calm,reliability,,,,,,,,,0.6999239366668698,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,15,calm,reliability,,,,,,,,,0.701006431926669,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,16,calm,reliability,,,,,,,,,0.7203823236505733,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,17,calm,reliability,,,,,,,,,0.7302100178832304,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,18,calm,reliability,,,,,,,,,0.7332800375359398,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,19,calm,reliability,,,,,,,,,0.7410886659246302,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,20,calm,reliability,,,,,,,,,0.7456200125364731,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,21,calm,reliability,,,,,,,,,0.7480119273270274,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,22,calm,reliability,,,,,,,,,0.7567231148306974,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,23,calm,reliability,,,,,,,,,0.7477498502354697,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,24,calm,reliability,,,,,,,,,0.7451857374452395,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,25,calm,reliability,,,,,,,,,0.7412520358829112,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,26,calm,reliability,,,,,,,,,0.7425267905713956,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,27,calm,reliability,,,,,,,,,0.7448695074958556,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,28,calm,reliability,,,,,,,,,0.7543188507297139,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,29,calm,reliability,,,,,,,,,0.754055916622483,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,30,calm,reliability,,,,,,,,,0.7604743887906175,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,31,calm,reliability,,,,,,,,,0.7724816999358554,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,32,calm,reliability,,,,,,,,,0.7674068777958369,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,33,calm,reliability,,,,,,,,,0.7537708807507879,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,34,calm,reliability,,,,,,,,,0.750815322773357,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,35,calm,reliability,,,,,,,,,0.7445777099735952,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,36,calm,reliability,,,,,,,,,0.7486650932494152,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,37,calm,reliability,,,,,,,,,0.754938910746332,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,38,calm,reliability,,,,,,,,,0.7589418189931443,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,39,calm,reliability,,,,,,,,,0.7539836983061909,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,40,calm,reliability,,,,,,,,,0.7567623352705913,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,41,calm,reliability,,,,,,,,,0.7542189005667265,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,42,calm,reliability,,,,,,,,,0.7554973449003375,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,43,calm,reliability,,,,,,,,,0.7562421980186046,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,44,calm,reliability,,,,,,,,,0.7557091913601315,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,45,calm,reliability,,,,,,,,,0.7438323434478685,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,46,calm,reliability,,,,,,,,,0.7462397967503216,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,47,calm,reliability,,,,,,,,,0.7849944817259387,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: calm
split_reliability,aligned,0,content,reliability,,,,,,,,,0.4499453077045824,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,1,content,reliability,,,,,,,,,0.40287037313322277,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,2,content,reliability,,,,,,,,,0.3782618301307511,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,3,content,reliability,,,,,,,,,0.4030145075859863,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,4,content,reliability,,,,,,,,,0.45684250913229096,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,5,content,reliability,,,,,,,,,0.4846395334949314,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,6,content,reliability,,,,,,,,,0.5488090299078929,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,7,content,reliability,,,,,,,,,0.5906542190314321,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,8,content,reliability,,,,,,,,,0.6247491506528092,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,9,content,reliability,,,,,,,,,0.6337618760573911,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,10,content,reliability,,,,,,,,,0.68074869762462,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,11,content,reliability,,,,,,,,,0.6731112577337173,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,12,content,reliability,,,,,,,,,0.6805272676534418,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,13,content,reliability,,,,,,,,,0.6990433929641453,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,14,content,reliability,,,,,,,,,0.704057615026362,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,15,content,reliability,,,,,,,,,0.6904955063562827,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,16,content,reliability,,,,,,,,,0.6997002220515408,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,17,content,reliability,,,,,,,,,0.6983285489595259,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,18,content,reliability,,,,,,,,,0.6959750266251056,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,19,content,reliability,,,,,,,,,0.6903911237030179,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,20,content,reliability,,,,,,,,,0.6920784799031267,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,21,content,reliability,,,,,,,,,0.6650607533332185,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,22,content,reliability,,,,,,,,,0.663333350684346,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,23,content,reliability,,,,,,,,,0.6500585013312357,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,24,content,reliability,,,,,,,,,0.638313956514774,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,25,content,reliability,,,,,,,,,0.643049452684811,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,26,content,reliability,,,,,,,,,0.61583237473694,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,27,content,reliability,,,,,,,,,0.614757447682243,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,28,content,reliability,,,,,,,,,0.633011180561282,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,29,content,reliability,,,,,,,,,0.6524612811643293,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,30,content,reliability,,,,,,,,,0.6894439582187913,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,31,content,reliability,,,,,,,,,0.7025914440082645,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,32,content,reliability,,,,,,,,,0.6948474120782158,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,33,content,reliability,,,,,,,,,0.6907665521905617,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,34,content,reliability,,,,,,,,,0.6931818505271755,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,35,content,reliability,,,,,,,,,0.6944591120772178,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,36,content,reliability,,,,,,,,,0.7128844613893253,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,37,content,reliability,,,,,,,,,0.7302383994457008,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,38,content,reliability,,,,,,,,,0.7343855179430461,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,39,content,reliability,,,,,,,,,0.7364641403382578,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,40,content,reliability,,,,,,,,,0.7504672853321652,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,41,content,reliability,,,,,,,,,0.7538146215092251,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,42,content,reliability,,,,,,,,,0.7569525172096303,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,43,content,reliability,,,,,,,,,0.7534126556608869,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,44,content,reliability,,,,,,,,,0.7493836774478901,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,45,content,reliability,,,,,,,,,0.7347609899195852,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,46,content,reliability,,,,,,,,,0.6987775739683628,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,47,content,reliability,,,,,,,,,0.7190479819852181,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: content
split_reliability,aligned,0,enthusiastic,reliability,,,,,,,,,0.31051672514777445,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: enthusiastic
split_reliability,aligned,1,enthusiastic,reliability,,,,,,,,,0.25138630926633704,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: enthusiastic
split_reliability,aligned,2,enthusiastic,reliability,,,,,,,,,0.2522484833114629,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: enthusiastic
split_reliability,aligned,3,enthusiastic,reliability,,,,,,,,,0.2550688851800335,raw,,,True,True,topic split A (0-9) versus split B (10-19),aligned: enthusiastic
